event_code, primary_location, direction, extent, diversion_advice, ltn, rds_cc, length_route_affected, speed_limit_advice, quantifier, supplementary_info, additional_event, detailed_diversion_instructions, destinations, cross_linkage_to_source_problem, start_unix_time, stop_unix_time, iso_cc, latitude, longitude, activate_unix_time, expire_unix_time, geocoded_location_list, iid, duration, control_code, separator, information_category
2050,5,1,1,0,32,12,65535,50,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9407,116.35556,1401180600,1401182400, ,0x003d8d44fd4039a91ed684a2a8598332,1,65535,255,218
2051,5,0,1,0,32,12,65535,28,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9407,116.35556,1401180600,1401182400, ,0x4987dc7c08ffefdbe61fe668dc85f3a5,1,65535,255,218
2051,6,1,1,0,32,12,65535,23,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94865,116.37193,1401180600,1401182400, ,0x25f801166365dc2f439b6c01c3f4ae35,1,65535,255,218
2050,6,0,1,0,32,12,65535,55,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94865,116.37193,1401180600,1401182400, ,0xb15e750a957eee1c3f916c82a80a3e94,1,65535,255,218
2049,7,1,1,0,32,12,65535,17,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91301,116.30213,1401180600,1401182400, ,0x471bea39c4bf35219ea68d4c608fb796,1,65535,255,218
2050,7,0,1,0,32,12,65535,20,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91301,116.30213,1401180600,1401182400, ,0xa729b588c8a3100082928b805a9b0a6d,1,65535,255,218
2051,8,1,1,0,32,12,65535,19,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94906,116.40826,1401180600,1401182400, ,0xefd30bdc0f459df70dab330748aff824,1,65535,255,218
2050,8,0,1,0,32,12,65535,47,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94906,116.40826,1401180600,1401182400, ,0xdedaccdf27ffc6e2d8541b1cc45010d8,1,65535,255,218
2051,9,1,1,0,32,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9493,116.41655,1401180600,1401182400, ,0x6f4ead2393a113ee216f2afabb8e53a0,1,65535,255,218
2050,9,0,1,0,32,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9493,116.41655,1401180600,1401182400, ,0xab742786640fa36bf8888b6868b55b7e,1,65535,255,218
2051,10,1,1,0,32,12,65535,9,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94113,116.4338,1401180600,1401182400, ,0x5ee9fe7fa092c40b7d2ce4a3352ad043,1,65535,255,218
2051,10,0,1,0,32,12,65535,28,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94113,116.4338,1401180600,1401182400, ,0x16e99b75e0e327ee734a01fee0f549f0,1,65535,255,218
2050,11,1,1,0,32,12,65535,22,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91112,116.31679,1401180600,1401182400, ,0xe68c50d67e7d73a4009dcdd433eaf0d0,1,65535,255,218
2049,11,0,1,0,32,12,65535,28,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91112,116.31679,1401180600,1401182400, ,0x06e9d6a6da0d6b05471d52c12785cf73,1,65535,255,218
2051,12,1,1,0,32,12,65535,17,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.92451,116.43456,1401180600,1401182400, ,0xdb9493e7fb898b56bfa16debfd8e9bae,1,65535,255,218
2051,12,0,1,0,32,12,65535,13,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.92451,116.43456,1401180600,1401182400, ,0x0b9f0f5bc448f54319fe57f5feedebe3,1,65535,255,218
2051,13,1,1,0,32,12,65535,19,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90853,116.43581,1401180600,1401182400, ,0xe931d7e209a5e5862d9ef8c9b5b7d939,1,65535,255,218
2051,13,0,1,0,32,12,65535,14,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90853,116.43581,1401180600,1401182400, ,0x7ca7d9c521ddbb125a6bc51092435244,1,65535,255,218
2050,14,1,1,0,32,12,65535,47,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90143,116.43634,1401180600,1401182400, ,0xf5b6d89e49b9374bb5809f716d1220c5,1,65535,255,218
2049,14,0,1,0,32,12,65535,51,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90143,116.43634,1401180600,1401182400, ,0x43a725911abf110146a27a1af1e12a0f,1,65535,255,218
2049,15,1,1,0,32,12,65535,53,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89372,116.44417,1401180600,1401182400, ,0x14405e6d1e91043136b801b2decbc86c,1,65535,255,218
2050,15,0,1,0,32,12,65535,54,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89372,116.44417,1401180600,1401182400, ,0xdffdefde0a7642c5149f40694ece2383,1,65535,255,218
2050,16,1,1,0,32,12,65535,50,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.88456,116.4454,1401180600,1401182400, ,0x1aa047d302793a147c8906151a0ff3ce,1,65535,255,218
2050,16,0,1,0,32,12,65535,54,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.88456,116.4454,1401180600,1401182400, ,0x4e5e010b0eb7d511e4942fcdcb2dda50,1,65535,255,218
2050,17,1,1,0,32,12,65535,53,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87059,116.43942,1401180600,1401182400, ,0xe2b8aa6a0b9f70a5790b935f1c4b3dfd,1,65535,255,218
2050,17,0,1,0,32,12,65535,53,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87059,116.43942,1401180600,1401182400, ,0x4ffb84e03f6ec21fb094e9e2068f1cf1,1,65535,255,218
2050,18,1,1,0,32,12,65535,55,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87121,116.42142,1401180600,1401182400, ,0xa83cc6fa0d2b43347b65dfcfd7dcc12d,1,65535,255,218
2050,18,0,1,0,32,12,65535,32,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87121,116.42142,1401180600,1401182400, ,0xdb5154cb239ad439e7a9cbc0cccf9506,1,65535,255,218
2050,19,1,1,0,32,12,65535,54,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87165,116.39922,1401180600,1401182400, ,0x731ab45bace2e2c8f2e5406067b10914,1,65535,255,218
2050,19,0,1,0,32,12,65535,55,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87165,116.39922,1401180600,1401182400, ,0xcfe797728e5c7f2a65bb5c416e8407cc,1,65535,255,218
